FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
202302,19,0,48457,1072788,"D","02/19/2023 00:00:00",24,"M","In Water",202302
202302,19,0,48459,1072794,"D","02/19/2023 00:00:00",48,"M","In Water",202302
202302,25,0,48468,1072857,"D","02/25/2023 00:00:00",20,"M","In Water",202302
202302,19,0,48490,1073760,"D","02/19/2023 00:00:00",70,"M","In Water",202302
202302,16,0,48745,1074584,"D","02/16/2023 00:00:00",0,"M","Vehicle/Towed Trailer",202302
202302,25,0,48512,1075012,"D","02/25/2023 00:00:00",,"M","Unknown",202302
202302,25,0,48513,1075012,"D","02/25/2023 00:00:00",,"M","Unknown",202302
202302,22,0,48700,1080028,"D","02/22/2023 00:00:00",28,"M","Outside/Open Areas",202302
202302,19,0,48706,1080534,"D","02/19/2023 00:00:00",60,"F","Outside/Open Areas",202302
202302,19,0,48707,1080534,"D","02/19/2023 00:00:00",66,"M","Outside/Open Areas",202302
202302,19,0,48708,1080534,"D","02/19/2023 00:00:00",53,"M","Outside/Open Areas",202302
202302,3,0,48709,1080705,"D","02/03/2023 00:00:00",1,"F","Vehicle/Towed Trailer",202302
202302,16,0,48736,1082520,"D","02/16/2023 00:00:00",75,"M","Vehicle/Towed Trailer",202302
202302,28,0,48746,1082871,"D","02/28/2023 00:00:00",80,"F","Permanent Home",202302
202302,17,0,48743,1083288,"D","02/17/2023 00:00:00",49,"M","Outside/Open Areas",202302
202302,17,0,48744,1083288,"D","02/17/2023 00:00:00",52,"F","Outside/Open Areas",202302
202302,23,0,48747,1084141,"D","02/23/2023 00:00:00",85,"F","Outside/Open Areas",202302
202302,26,0,48748,1084141,"I","02/26/2023 00:00:00",50,"M","Outside/Open Areas",202302
202305,8,0,48780,1086381,"D","05/08/2023 00:00:00",,"F","Under Tree",202305
